1090 400 400
235 330 -1 0
238 329 -1 0
237 329 -1 0
236 329 -1 0
235 329 -1 0
234 329 -1 0
233 329 -1 0
232 329 -1 0
239 328 -1 0
238 328 -1 0
237 328 -1 0
236 328 -1 0
235 328 -1 0
234 328 -1 0
233 328 -1 0
232 328 -1 0
231 328 -1 0
239 327 -1 0
238 327 -1 0
237 327 -1 0
236 327 -1 0
235 327 -1 0
234 327 -1 0
233 327 -1 0
232 327 -1 0
231 327 -1 0
239 326 -1 0
238 326 -1 0
237 326 -1 0
236 326 -1 0
235 326 -1 0
234 326 -1 0
233 326 -1 0
232 326 -1 0
231 326 -1 0
230 326 -1 0
240 325 -1 0
239 325 -1 0
238 325 -1 0
237 325 -1 0
236 325 -1 0
235 325 -1 0
234 325 -1 0
233 325 -1 0
232 325 -1 0
231 325 -1 0
230 325 -1 0
229 325 -1 0
240 324 -1 0
239 324 -1 0
238 324 -1 0
237 324 -1 0
236 324 -1 0
235 324 -1 0
234 324 -1 0
233 324 -1 0
232 324 -1 0
231 324 -1 0
230 324 -1 0
229 324 -1 0
228 324 -1 0
227 324 -1 0
240 323 -1 0
239 323 -1 0
238 323 -1 0
237 323 -1 0
236 323 -1 0
235 323 -1 0
234 323 -1 0
233 323 -1 0
232 323 -1 0
231 323 -1 0
230 323 -1 0
229 323 -1 0
228 323 -1 0
227 323 -1 0
226 323 -1 0
239 322 -1 0
238 322 -1 0
237 322 -1 0
236 322 -1 0
235 322 -1 0
234 322 -1 0
233 322 -1 0
232 322 -1 0
231 322 -1 0
230 322 -1 0
229 322 -1 0
228 322 -1 0
227 322 -1 0
226 322 -1 0
239 321 -1 0
238 321 -1 0
237 321 -1 0
236 321 -1 0
235 321 -1 0
234 321 -1 0
233 321 -1 0
232 321 -1 0
231 321 -1 0
230 321 -1 0
229 321 -1 0
228 321 -1 0
227 321 -1 0
226 321 -1 0
239 320 -1 0
238 320 -1 0
237 320 -1 0
236 320 -1 0
235 320 -1 0
234 320 -1 0
233 320 -1 0
232 320 -1 0
231 320 -1 0
230 320 -1 0
229 320 -1 0
228 320 -1 0
227 320 -1 0
226 320 -1 0
225 320 -1 0
238 319 -1 0
237 319 -1 0
236 319 -1 0
235 319 -1 0
234 319 -1 0
233 319 -1 0
232 319 -1 0
231 319 -1 0
230 319 -1 0
229 319 -1 0
228 319 -1 0
227 319 -1 0
226 319 -1 0
225 319 -1 0
236 318 -1 0
235 318 -1 0
234 318 -1 0
233 318 -1 0
232 318 -1 0
231 318 -1 0
