1173 400 400
20 227 -1 0
23 226 -1 0
22 226 -1 0
21 226 -1 0
20 226 -1 0
19 226 -1 0
18 226 -1 0
17 226 -1 0
24 225 -1 0
23 225 -1 0
22 225 -1 0
21 225 -1 0
20 225 -1 0
19 225 -1 0
18 225 -1 0
17 225 -1 0
16 225 -1 0
25 224 -1 0
24 224 -1 0
23 224 -1 0
22 224 -1 0
21 224 -1 0
20 224 -1 0
19 224 -1 0
18 224 -1 0
17 224 -1 0
16 224 -1 0
25 223 -1 0
24 223 -1 0
23 223 -1 0
22 223 -1 0
21 223 -1 0
20 223 -1 0
19 223 -1 0
18 223 -1 0
17 223 -1 0
16 223 -1 0
26 222 -1 0
25 222 -1 0
24 222 -1 0
23 222 -1 0
22 222 -1 0
21 222 -1 0
20 222 -1 0
19 222 -1 0
18 222 -1 0
17 222 -1 0
16 222 -1 0
15 222 -1 0
27 221 -1 0
26 221 -1 0
25 221 -1 0
24 221 -1 0
23 221 -1 0
22 221 -1 0
21 221 -1 0
20 221 -1 0
19 221 -1 0
18 221 -1 0
17 221 -1 0
16 221 -1 0
15 221 -1 0
27 220 -1 0
26 220 -1 0
25 220 -1 0
24 220 -1 0
23 220 -1 0
22 220 -1 0
21 220 -1 0
20 220 -1 0
19 220 -1 0
18 220 -1 0
17 220 -1 0
16 220 -1 0
27 219 -1 0
26 219 -1 0
25 219 -1 0
24 219 -1 0
23 219 -1 0
22 219 -1 0
21 219 -1 0
20 219 -1 0
19 219 -1 0
18 219 -1 0
17 219 -1 0
16 219 -1 0
28 218 -1 0
27 218 -1 0
26 218 -1 0
25 218 -1 0
24 218 -1 0
23 218 -1 0
22 218 -1 0
21 218 -1 0
20 218 -1 0
19 218 -1 0
18 218 -1 0
17 218 -1 0
16 218 -1 0
30 217 -1 0
29 217 -1 0
28 217 -1 0
27 217 -1 0
26 217 -1 0
25 217 -1 0
24 217 -1 0
23 217 -1 0
22 217 -1 0
21 217 -1 0
20 217 -1 0
19 217 -1 0
18 217 -1 0
17 217 -1 0
31 216 -1 0
30 216 -1 0
29 216 -1 0
28 216 -1 0
27 216 -1 0
26 216 -1 0
25 216 -1 0
24 216 -1 0
23 216 -1 0
22 216 -1 0
21 216 -1 0
20 216 -1 0
19 216 -1 0
18 216 -1 0
31 215 -1 0
30 215 -1 0
29 215 -1 0
28 215 -1 0
27 215 -1 0
26 215 -1 0
25 215 -1 0
24 215 -1 0
23 215 -1 0
22 215 -1 0
21 215 -1 0
20 215 -1 0
19 215 -1 0
18 215 -1 0
31 214 -1 0
30 214 -1 0
29 214 -1 0
28 214 -1 0
27 214 -1 0
26 214 -1 0
25 214 -1 0
24 214 -1 0
23 214 -1 0
22 214 -1 0
21 214 -1 0
20 214 -1 0
19 214 -1 0
32 213 -1 0
31 213 -1 0
30 213 -1 0
29 213 -1 0
28 213 -1 0
27 213 -1 0
26 213 -1 0
25 213 -1 0
24 213 -1 0
23 213 -1 0
22 213 -1 0
21 213 -1 0
20 213 -1 0
19 213 -1 0
32 212 -1 0
31 212 -1 0
30 212 -1 0
29 212 -1 0
28 212 -1 0
27 212 -1 0
26 212 -1 0
25 212 -1 0
24 212 -1 0
23 212 -1 0
22 212 -1 0
21 212 -1 0
20 212 -1 0
33 211 -1 0
32 211 -1 0
31 211 -1 0
30 211 -1 0
29 211 -1 0
28 211 -1 0
27 211 -1 0
26 211 -1 0
25 211 -1 0
24 211 -1 0
23 211 -1 0
