7700 400 400
33 377 -1 0
36 376 -1 0
35 376 -1 0
34 376 -1 0
33 376 -1 0
32 376 -1 0
31 376 -1 0
30 376 -1 0
37 375 -1 0
36 375 -1 0
35 375 -1 0
34 375 -1 0
33 375 -1 0
32 375 -1 0
31 375 -1 0
30 375 -1 0
29 375 -1 0
37 374 -1 0
36 374 -1 0
35 374 -1 0
34 374 -1 0
33 374 -1 0
32 374 -1 0
31 374 -1 0
30 374 -1 0
29 374 -1 0
38 373 -1 0
37 373 -1 0
36 373 -1 0
35 373 -1 0
34 373 -1 0
33 373 -1 0
32 373 -1 0
31 373 -1 0
30 373 -1 0
29 373 -1 0
38 372 -1 0
37 372 -1 0
36 372 -1 0
35 372 -1 0
34 372 -1 0
33 372 -1 0
32 372 -1 0
31 372 -1 0
30 372 -1 0
29 372 -1 0
28 372 -1 0
39 371 -1 0
38 371 -1 0
37 371 -1 0
36 371 -1 0
35 371 -1 0
34 371 -1 0
33 371 -1 0
32 371 -1 0
31 371 -1 0
30 371 -1 0
29 371 -1 0
28 371 -1 0
40 370 -1 0
39 370 -1 0
38 370 -1 0
37 370 -1 0
36 370 -1 0
35 370 -1 0
34 370 -1 0
33 370 -1 0
32 370 -1 0
31 370 -1 0
30 370 -1 0
29 370 -1 0
28 370 -1 0
40 369 -1 0
39 369 -1 0
38 369 -1 0
37 369 -1 0
36 369 -1 0
35 369 -1 0
34 369 -1 0
33 369 -1 0
32 369 -1 0
31 369 -1 0
30 369 -1 0
29 369 -1 0
40 368 -1 0
39 368 -1 0
38 368 -1 0
37 368 -1 0
36 368 -1 0
35 368 -1 0
34 368 -1 0
33 368 -1 0
32 368 -1 0
31 368 -1 0
30 368 -1 0
29 368 -1 0
41 367 -1 0
40 367 -1 0
39 367 -1 0
38 367 -1 0
37 367 -1 0
36 367 -1 0
35 367 -1 0
34 367 -1 0
33 367 -1 0
32 367 -1 0
31 367 -1 0
30 367 -1 0
29 367 -1 0
42 366 -1 0
41 366 -1 0
40 366 -1 0
39 366 -1 0
38 366 -1 0
37 366 -1 0
36 366 -1 0
35 366 -1 0
34 366 -1 0
33 366 -1 0
32 366 -1 0
31 366 -1 0
30 366 -1 0
42 365 -1 0
41 365 -1 0
40 365 -1 0
39 365 -1 0
38 365 -1 0
37 365 -1 0
36 365 -1 0
35 365 -1 0
34 365 -1 0
33 365 -1 0
32 365 -1 0
31 365 -1 0
30 365 -1 0
42 364 -1 0
41 364 -1 0
40 364 -1 0
39 364 -1 0
38 364 -1 0
37 364 -1 0
36 364 -1 0
35 364 -1 0
34 364 -1 0
33 364 -1 0
32 364 -1 0
31 364 -1 0
30 364 -1 0
44 363 -1 0
43 363 -1 0
42 363 -1 0
41 363 -1 0
40 363 -1 0
39 363 -1 0
38 363 -1 0
37 363 -1 0
36 363 -1 0
35 363 -1 0
34 363 -1 0
33 363 -1 0
32 363 -1 0
31 363 -1 0
45 362 -1 0
44 362 -1 0
43 362 -1 0
